id_election;id_brut_miom;code_departement;libelle_departement;code_canton;libelle_canton;code_commune;libelle_commune;code_circonscription;libelle_circonscription;code_bv;inscrits;abstentions;votants;blancs;nuls;exprimes;ratio_abstentions_inscrits;ratio_votants_inscrits;ratio_blancs_inscrits;ratio_blancs_votants;ratio_nuls_inscrits;ratio_nuls_votants;ratio_exprimes_inscrits;ratio_exprimes_votants
2008_muni_t2;97107_0005;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0005;537;173;364;;30;334;32.22;67.78;;;5.59;8.24;62.2;91.76
2008_muni_t2;97107_0006;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0006;1043;338;705;;56;649;32.41;67.59;;;5.37;7.94;62.22;92.06
2008_muni_t2;97107_0007;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0007;525;165;360;;21;339;31.43;68.57;;;4.0;5.83;64.57;94.17
2008_muni_t2;97107_0008;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0008;595;197;398;;28;370;33.11;66.89;;;4.71;7.04;62.18;92.96
2008_muni_t2;97107_0009;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0009;512;169;343;;16;327;33.01;66.99;;;3.12;4.66;63.87;95.34
2008_muni_t2;97107_0010;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0010;674;191;483;;25;458;28.34;71.66;;;3.71;5.18;67.95;94.82
2008_muni_t2;97107_0011;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0011;816;215;601;;38;563;26.35;73.65;;;4.66;6.32;69.0;93.68
2008_muni_t2;97107_0012;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0012;527;117;410;;17;393;22.2;77.8;;;3.23;4.15;74.57;95.85
2008_muni_t2;97107_0013;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0013;554;155;399;;26;373;27.98;72.02;;;4.69;6.52;67.33;93.48
2008_muni_t2;97107_0014;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0014;347;93;254;;16;238;26.8;73.2;;;4.61;6.3;68.59;93.7
2008_muni_t2;97107_0015;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0015;771;235;536;;27;509;30.48;69.52;;;3.5;5.04;66.02;94.96
2008_muni_t2;97107_0016;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0016;604;209;395;;37;358;34.6;65.4;;;6.13;9.37;59.27;90.63
2008_muni_t2;97107_0017;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0017;682;247;435;;36;399;36.22;63.78;;;5.28;8.28;58.5;91.72
2008_muni_t2;97107_0018;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0018;1008;243;765;;32;733;24.11;75.89;;;3.17;4.18;72.72;95.82
2008_muni_t2;97107_0019;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0019;498;136;362;;13;349;27.31;72.69;;;2.61;3.59;70.08;96.41
2008_muni_t2;97107_0020;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0020;544;195;349;;14;335;35.85;64.15;;;2.57;4.01;61.58;95.99
2008_muni_t2;97107_0021;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0021;494;127;367;;23;344;25.71;74.29;;;4.66;6.27;69.64;93.73
2008_muni_t2;97107_0022;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0022;973;301;672;;49;623;30.94;69.06;;;5.04;7.29;64.03;92.71
2008_muni_t2;97111_0001;ZA;Guadeloupe;;;97111;Deshaies;;;0001;944;189;755;;31;724;20.02;79.98;;;3.28;4.11;76.69;95.89
2008_muni_t2;97111_0002;ZA;Guadeloupe;;;97111;Deshaies;;;0002;938;148;790;;29;761;15.78;84.22;;;3.09;3.67;81.13;96.33
2008_muni_t2;97111_0003;ZA;Guadeloupe;;;97111;Deshaies;;;0003;997;174;823;;24;799;17.45;82.55;;;2.41;2.92;80.14;97.08
2008_muni_t2;97111_0004;ZA;Guadeloupe;;;97111;Deshaies;;;0004;752;153;599;;16;583;20.35;79.65;;;2.13;2.67;77.53;97.33
2008_muni_t2;97114_0001;ZA;Guadeloupe;;;97114;Goyave;;;0001;868;179;689;;29;660;20.62;79.38;;;3.34;4.21;76.04;95.79
2008_muni_t2;97114_0002;ZA;Guadeloupe;;;97114;Goyave;;;0002;586;129;457;;23;434;22.01;77.99;;;3.92;5.03;74.06;94.97
2008_muni_t2;97114_0003;ZA;Guadeloupe;;;97114;Goyave;;;0003;937;188;749;;44;705;20.06;79.94;;;4.7;5.87;75.24;94.13
2008_muni_t2;97114_0004;ZA;Guadeloupe;;;97114;Goyave;;;0004;1083;266;817;;66;751;24.56;75.44;;;6.09;8.08;69.34;91.92
2008_muni_t2;97114_0005;ZA;Guadeloupe;;;97114;Goyave;;;0005;695;185;510;;20;490;26.62;73.38;;;2.88;3.92;70.5;96.08
2008_muni_t2;97115_0001;ZA;Guadeloupe;;;97115;Lamentin;;;0001;1246;328;918;;54;864;26.32;73.68;;;4.33;5.88;69.34;94.12
2008_muni_t2;97115_0002;ZA;Guadeloupe;;;97115;Lamentin;;;0002;933;252;681;;30;651;27.01;72.99;;;3.22;4.41;69.77;95.59
2008_muni_t2;97115_0003;ZA;Guadeloupe;;;97115;Lamentin;;;0003;1130;288;842;;20;822;25.49;74.51;;;1.77;2.38;72.74;97.62
2008_muni_t2;97115_0004;ZA;Guadeloupe;;;97115;Lamentin;;;0004;901;200;701;;20;681;22.2;77.8;;;2.22;2.85;75.58;97.15
2008_muni_t2;97115_0005;ZA;Guadeloupe;;;97115;Lamentin;;;0005;1168;237;931;;34;897;20.29;79.71;;;2.91;3.65;76.8;96.35
2008_muni_t2;97115_0006;ZA;Guadeloupe;;;97115;Lamentin;;;0006;922;201;721;;29;692;21.8;78.2;;;3.15;4.02;75.05;95.98
2008_muni_t2;97115_0007;ZA;Guadeloupe;;;97115;Lamentin;;;0007;1235;286;949;;36;913;23.16;76.84;;;2.91;3.79;73.93;96.21
2008_muni_t2;97115_0008;ZA;Guadeloupe;;;97115;Lamentin;;;0008;1246;295;951;;25;926;23.68;76.32;;;2.01;2.63;74.32;97.37
2008_muni_t2;97115_0009;ZA;Guadeloupe;;;97115;Lamentin;;;0009;1182;335;847;;30;817;28.34;71.66;;;2.54;3.54;69.12;96.46
2008_muni_t2;97115_0010;ZA;Guadeloupe;;;97115;Lamentin;;;0010;1135;316;819;;36;783;27.84;72.16;;;3.17;4.4;68.99;95.6
2008_muni_t2;97116_0001;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0001;789;307;482;;24;458;38.91;61.09;;;3.04;4.98;58.05;95.02
2008_muni_t2;97116_0002;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0002;827;282;545;;15;530;34.1;65.9;;;1.81;2.75;64.09;97.25
2008_muni_t2;97116_0003;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0003;519;185;334;;13;321;35.65;64.35;;;2.5;3.89;61.85;96.11
2008_muni_t2;97116_0004;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0004;617;231;386;;14;372;37.44;62.56;;;2.27;3.63;60.29;96.37
2008_muni_t2;97116_0005;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0005;504;161;343;;20;323;31.94;68.06;;;3.97;5.83;64.09;94.17
2008_muni_t2;97116_0006;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0006;821;323;498;;12;486;39.34;60.66;;;1.46;2.41;59.2;97.59
2008_muni_t2;97116_0007;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0007;390;135;255;;15;240;34.62;65.38;;;3.85;5.88;61.54;94.12
2008_muni_t2;97116_0008;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0008;674;255;419;;23;396;37.83;62.17;;;3.41;5.49;58.75;94.51
2008_muni_t2;97116_0009;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0009;624;202;422;;25;397;32.37;67.63;;;4.01;5.92;63.62;94.08
2008_muni_t2;97116_0010;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0010;404;138;266;;10;256;34.16;65.84;;;2.48;3.76;63.37;96.24
2008_muni_t2;97116_0011;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0011;586;210;376;;23;353;35.84;64.16;;;3.92;6.12;60.24;93.88
2008_muni_t2;97116_0012;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0012;758;268;490;;12;478;35.36;64.64;;;1.58;2.45;63.06;97.55
2008_muni_t2;97116_0013;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0013;516;195;321;;19;302;37.79;62.21;;;3.68;5.92;58.53;94.08
2008_muni_t2;97116_0014;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0014;833;298;535;;22;513;35.77;64.23;;;2.64;4.11;61.58;95.89
2008_muni_t2;97116_0015;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0015;551;208;343;;11;332;37.75;62.25;;;2.0;3.21;60.25;96.79
2008_muni_t2;97116_0016;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0016;805;247;558;;22;536;30.68;69.32;;;2.73;3.94;66.58;96.06
2008_muni_t2;97116_0017;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0017;823;305;518;;40;478;37.06;62.94;;;4.86;7.72;58.08;92.28
2008_muni_t2;97116_0018;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0018;618;146;472;;23;449;23.62;76.38;;;3.72;4.87;72.65;95.13
2008_muni_t2;97116_0019;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0019;706;143;563;;15;548;20.25;79.75;;;2.12;2.66;77.62;97.34
2008_muni_t2;97116_0020;ZA;Guadeloupe;;;97116;Morne-À-L'Eau;;;0020;693;183;510;;21;489;26.41;73.59;;;3.03;4.12;70.56;95.88
2008_muni_t2;97118_0001;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0001;651;195;456;;15;441;29.95;70.05;;;2.3;3.29;67.74;96.71
2008_muni_t2;97118_0002;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0002;798;277;521;;25;496;34.71;65.29;;;3.13;4.8;62.16;95.2
2008_muni_t2;97118_0003;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0003;541;168;373;;17;356;31.05;68.95;;;3.14;4.56;65.8;95.44
2008_muni_t2;97118_0004;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0004;770;206;564;;32;532;26.75;73.25;;;4.16;5.67;69.09;94.33
2008_muni_t2;97118_0005;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0005;480;204;276;;16;260;42.5;57.5;;;3.33;5.8;54.17;94.2
2008_muni_t2;97118_0006;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0006;766;220;546;;30;516;28.72;71.28;;;3.92;5.49;67.36;94.51
2008_muni_t2;97118_0007;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0007;835;266;569;;40;529;31.86;68.14;;;4.79;7.03;63.35;92.97
2008_muni_t2;97118_0008;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0008;805;252;553;;34;519;31.3;68.7;;;4.22;6.15;64.47;93.85
2008_muni_t2;97118_0009;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0009;668;198;470;;33;437;29.64;70.36;;;4.94;7.02;65.42;92.98
2008_muni_t2;97118_0010;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0010;787;293;494;;10;484;37.23;62.77;;;1.27;2.02;61.5;97.98
2008_muni_t2;97118_0011;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0011;661;217;444;;13;431;32.83;67.17;;;1.97;2.93;65.2;97.07
2008_muni_t2;97118_0012;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0012;560;199;361;;31;330;35.54;64.46;;;5.54;8.59;58.93;91.41
2008_muni_t2;97118_0013;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0013;471;185;286;;22;264;39.28;60.72;;;4.67;7.69;56.05;92.31
2008_muni_t2;97118_0014;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0014;596;338;258;;13;245;56.71;43.29;;;2.18;5.04;41.11;94.96
2008_muni_t2;97118_0015;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0015;740;357;383;;29;354;48.24;51.76;;;3.92;7.57;47.84;92.43
2008_muni_t2;97118_0016;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0016;811;331;480;;33;447;40.81;59.19;;;4.07;6.88;55.12;93.12
2008_muni_t2;97118_0017;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0017;659;334;325;;26;299;50.68;49.32;;;3.95;8.0;45.37;92.0
2008_muni_t2;97118_0018;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0018;828;353;475;;28;447;42.63;57.37;;;3.38;5.89;53.99;94.11
2008_muni_t2;97118_0019;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0019;739;274;465;;20;445;37.08;62.92;;;2.71;4.3;60.22;95.7
2008_muni_t2;97118_0020;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0020;616;221;395;;18;377;35.88;64.12;;;2.92;4.56;61.2;95.44
2008_muni_t2;97118_0021;ZA;Guadeloupe;;;97118;Petit-Bourg;;;0021;766;270;496;;20;476;35.25;64.75;;;2.61;4.03;62.14;95.97
2008_muni_t2;97119_0001;ZA;Guadeloupe;;;97119;Petit-Canal;;;0001;1027;275;752;;26;726;26.78;73.22;;;2.53;3.46;70.69;96.54
2008_muni_t2;97119_0002;ZA;Guadeloupe;;;97119;Petit-Canal;;;0002;1083;290;793;;22;771;26.78;73.22;;;2.03;2.77;71.19;97.23
2008_muni_t2;97119_0003;ZA;Guadeloupe;;;97119;Petit-Canal;;;0003;1070;220;850;;33;817;20.56;79.44;;;3.08;3.88;76.36;96.12
2008_muni_t2;97119_0004;ZA;Guadeloupe;;;97119;Petit-Canal;;;0004;1299;313;986;;41;945;24.1;75.9;;;3.16;4.16;72.75;95.84
2008_muni_t2;97119_0005;ZA;Guadeloupe;;;97119;Petit-Canal;;;0005;1160;288;872;;47;825;24.83;75.17;;;4.05;5.39;71.12;94.61
2008_muni_t2;97120_0001;ZA;Guadeloupe;;;97120;Pointe-À-Pitre;;;0001;815;321;494;;20;474;39.39;60.61;;;2.45;4.05;58.16;95.95
2008_muni_t2;97120_0002;ZA;Guadeloupe;;;97120;Pointe-À-Pitre;;;0002;417;171;246;;10;236;41.01;58.99;;;2.4;4.07;56.59;95.93
2008_muni_t2;97120_0003;ZA;Guadeloupe;;;97120;Pointe-À-Pitre;;;0003;780;234;546;;17;529;30.0;70.0;;;2.18;3.11;67.82;96.89
2008_muni_t2;97120_0004;ZA;Guadeloupe;;;97120;Pointe-À-Pitre;;;0004;331;102;229;;6;223;30.82;69.18;;;1.81;2.62;67.37;97.38
2008_muni_t2;97120_0005;ZA;Guadeloupe;;;97120;Pointe-À-Pitre;;;0005;521;175;346;;8;338;33.59;66.41;;;1.54;2.31;64.88;97.69
2008_muni_t2;97120_0006;ZA;Guadeloupe;;;97120;Pointe-À-Pitre;;;0006;292;105;187;;4;183;35.96;64.04;;;1.37;2.14;62.67;97.86
2008_muni_t2;97120_0007;ZA;Guadeloupe;;;97120;Pointe-À-Pitre;;;0007;691;243;448;;10;438;35.17;64.83;;;1.45;2.23;63.39;97.77
2008_muni_t2;97120_0008;ZA;Guadeloupe;;;97120;Pointe-À-Pitre;;;0008;422;150;272;;7;265;35.55;64.45;;;1.66;2.57;62.8;97.43
