id_election;id_brut_miom;code_departement;libelle_departement;code_canton;libelle_canton;code_commune;libelle_commune;code_circonscription;libelle_circonscription;code_bv;inscrits;abstentions;votants;blancs;nuls;exprimes;ratio_abstentions_inscrits;ratio_votants_inscrits;ratio_blancs_inscrits;ratio_blancs_votants;ratio_nuls_inscrits;ratio_nuls_votants;ratio_exprimes_inscrits;ratio_exprimes_votants
2008_muni_t2;97101_0001;ZA;Guadeloupe;;;97101;Les Abymes;;;0001;540;137;403;;23;380;25.37;74.63;;;4.26;5.71;70.37;94.29
2008_muni_t2;97101_0002;ZA;Guadeloupe;;;97101;Les Abymes;;;0002;274;75;199;;13;186;27.37;72.63;;;4.74;6.53;67.88;93.47
2008_muni_t2;97101_0003;ZA;Guadeloupe;;;97101;Les Abymes;;;0003;709;196;513;;22;491;27.64;72.36;;;3.1;4.29;69.25;95.71
2008_muni_t2;97101_0004;ZA;Guadeloupe;;;97101;Les Abymes;;;0004;677;165;512;;19;493;24.37;75.63;;;2.81;3.71;72.82;96.29
2008_muni_t2;97101_0005;ZA;Guadeloupe;;;97101;Les Abymes;;;0005;896;225;671;;38;633;25.11;74.89;;;4.24;5.66;70.65;94.34
2008_muni_t2;97101_0006;ZA;Guadeloupe;;;97101;Les Abymes;;;0006;523;126;397;;17;380;24.09;75.91;;;3.25;4.28;72.66;95.72
2008_muni_t2;97101_0007;ZA;Guadeloupe;;;97101;Les Abymes;;;0007;452;128;324;;8;316;28.32;71.68;;;1.77;2.47;69.91;97.53
2008_muni_t2;97101_0008;ZA;Guadeloupe;;;97101;Les Abymes;;;0008;704;166;538;;36;502;23.58;76.42;;;5.11;6.69;71.31;93.31
2008_muni_t2;97101_0009;ZA;Guadeloupe;;;97101;Les Abymes;;;0009;801;208;593;;32;561;25.97;74.03;;;4.0;5.4;70.04;94.6
2008_muni_t2;97101_0010;ZA;Guadeloupe;;;97101;Les Abymes;;;0010;877;257;620;;57;563;29.3;70.7;;;6.5;9.19;64.2;90.81
2008_muni_t2;97101_0011;ZA;Guadeloupe;;;97101;Les Abymes;;;0011;737;229;508;;27;481;31.07;68.93;;;3.66;5.31;65.26;94.69
2008_muni_t2;97101_0012;ZA;Guadeloupe;;;97101;Les Abymes;;;0012;498;194;304;;20;284;38.96;61.04;;;4.02;6.58;57.03;93.42
2008_muni_t2;97101_0013;ZA;Guadeloupe;;;97101;Les Abymes;;;0013;466;195;271;;19;252;41.85;58.15;;;4.08;7.01;54.08;92.99
2008_muni_t2;97101_0014;ZA;Guadeloupe;;;97101;Les Abymes;;;0014;723;303;420;;32;388;41.91;58.09;;;4.43;7.62;53.67;92.38
2008_muni_t2;97101_0015;ZA;Guadeloupe;;;97101;Les Abymes;;;0015;708;261;447;;50;397;36.86;63.14;;;7.06;11.19;56.07;88.81
2008_muni_t2;97101_0016;ZA;Guadeloupe;;;97101;Les Abymes;;;0016;597;227;370;;36;334;38.02;61.98;;;6.03;9.73;55.95;90.27
2008_muni_t2;97101_0017;ZA;Guadeloupe;;;97101;Les Abymes;;;0017;799;312;487;;43;444;39.05;60.95;;;5.38;8.83;55.57;91.17
2008_muni_t2;97101_0018;ZA;Guadeloupe;;;97101;Les Abymes;;;0018;772;360;412;;31;381;46.63;53.37;;;4.02;7.52;49.35;92.48
2008_muni_t2;97101_0019;ZA;Guadeloupe;;;97101;Les Abymes;;;0019;728;320;408;;29;379;43.96;56.04;;;3.98;7.11;52.06;92.89
2008_muni_t2;97101_0020;ZA;Guadeloupe;;;97101;Les Abymes;;;0020;761;308;453;;34;419;40.47;59.53;;;4.47;7.51;55.06;92.49
2008_muni_t2;97101_0021;ZA;Guadeloupe;;;97101;Les Abymes;;;0021;784;155;629;;23;606;19.77;80.23;;;2.93;3.66;77.3;96.34
2008_muni_t2;97101_0022;ZA;Guadeloupe;;;97101;Les Abymes;;;0022;340;66;274;;15;259;19.41;80.59;;;4.41;5.47;76.18;94.53
2008_muni_t2;97101_0023;ZA;Guadeloupe;;;97101;Les Abymes;;;0023;486;84;402;;18;384;17.28;82.72;;;3.7;4.48;79.01;95.52
2008_muni_t2;97101_0024;ZA;Guadeloupe;;;97101;Les Abymes;;;0024;676;146;530;;25;505;21.6;78.4;;;3.7;4.72;74.7;95.28
2008_muni_t2;97101_0025;ZA;Guadeloupe;;;97101;Les Abymes;;;0025;724;161;563;;44;519;22.24;77.76;;;6.08;7.82;71.69;92.18
2008_muni_t2;97101_0026;ZA;Guadeloupe;;;97101;Les Abymes;;;0026;1010;248;762;;53;709;24.55;75.45;;;5.25;6.96;70.2;93.04
2008_muni_t2;97101_0027;ZA;Guadeloupe;;;97101;Les Abymes;;;0027;873;219;654;;24;630;25.09;74.91;;;2.75;3.67;72.16;96.33
2008_muni_t2;97101_0028;ZA;Guadeloupe;;;97101;Les Abymes;;;0028;383;75;308;;8;300;19.58;80.42;;;2.09;2.6;78.33;97.4
2008_muni_t2;97101_0029;ZA;Guadeloupe;;;97101;Les Abymes;;;0029;811;241;570;;34;536;29.72;70.28;;;4.19;5.96;66.09;94.04
2008_muni_t2;97101_0030;ZA;Guadeloupe;;;97101;Les Abymes;;;0030;754;218;536;;33;503;28.91;71.09;;;4.38;6.16;66.71;93.84
2008_muni_t2;97101_0031;ZA;Guadeloupe;;;97101;Les Abymes;;;0031;414;100;314;;9;305;24.15;75.85;;;2.17;2.87;73.67;97.13
2008_muni_t2;97101_0032;ZA;Guadeloupe;;;97101;Les Abymes;;;0032;709;231;478;;42;436;32.58;67.42;;;5.92;8.79;61.5;91.21
2008_muni_t2;97101_0033;ZA;Guadeloupe;;;97101;Les Abymes;;;0033;709;310;399;;26;373;43.72;56.28;;;3.67;6.52;52.61;93.48
2008_muni_t2;97101_0034;ZA;Guadeloupe;;;97101;Les Abymes;;;0034;752;340;412;;30;382;45.21;54.79;;;3.99;7.28;50.8;92.72
2008_muni_t2;97101_0035;ZA;Guadeloupe;;;97101;Les Abymes;;;0035;844;391;453;;28;425;46.33;53.67;;;3.32;6.18;50.36;93.82
2008_muni_t2;97101_0036;ZA;Guadeloupe;;;97101;Les Abymes;;;0036;625;248;377;;27;350;39.68;60.32;;;4.32;7.16;56.0;92.84
2008_muni_t2;97101_0037;ZA;Guadeloupe;;;97101;Les Abymes;;;0037;643;288;355;;38;317;44.79;55.21;;;5.91;10.7;49.3;89.3
2008_muni_t2;97101_0038;ZA;Guadeloupe;;;97101;Les Abymes;;;0038;503;191;312;;17;295;37.97;62.03;;;3.38;5.45;58.65;94.55
2008_muni_t2;97101_0039;ZA;Guadeloupe;;;97101;Les Abymes;;;0039;920;356;564;;48;516;38.7;61.3;;;5.22;8.51;56.09;91.49
2008_muni_t2;97101_0040;ZA;Guadeloupe;;;97101;Les Abymes;;;0040;150;48;102;;8;94;32.0;68.0;;;5.33;7.84;62.67;92.16
2008_muni_t2;97101_0041;ZA;Guadeloupe;;;97101;Les Abymes;;;0041;551;194;357;;24;333;35.21;64.79;;;4.36;6.72;60.44;93.28
2008_muni_t2;97101_0042;ZA;Guadeloupe;;;97101;Les Abymes;;;0042;948;347;601;;57;544;36.6;63.4;;;6.01;9.48;57.38;90.52
2008_muni_t2;97101_0043;ZA;Guadeloupe;;;97101;Les Abymes;;;0043;899;369;530;;33;497;41.05;58.95;;;3.67;6.23;55.28;93.77
2008_muni_t2;97101_0044;ZA;Guadeloupe;;;97101;Les Abymes;;;0044;832;288;544;;42;502;34.62;65.38;;;5.05;7.72;60.34;92.28
2008_muni_t2;97101_0045;ZA;Guadeloupe;;;97101;Les Abymes;;;0045;681;209;472;;30;442;30.69;69.31;;;4.41;6.36;64.9;93.64
2008_muni_t2;97101_0046;ZA;Guadeloupe;;;97101;Les Abymes;;;0046;508;114;394;;20;374;22.44;77.56;;;3.94;5.08;73.62;94.92
2008_muni_t2;97101_0047;ZA;Guadeloupe;;;97101;Les Abymes;;;0047;474;94;380;;24;356;19.83;80.17;;;5.06;6.32;75.11;93.68
2008_muni_t2;97101_0048;ZA;Guadeloupe;;;97101;Les Abymes;;;0048;502;137;365;;31;334;27.29;72.71;;;6.18;8.49;66.53;91.51
2008_muni_t2;97101_0049;ZA;Guadeloupe;;;97101;Les Abymes;;;0049;830;217;613;;31;582;26.14;73.86;;;3.73;5.06;70.12;94.94
2008_muni_t2;97101_0050;ZA;Guadeloupe;;;97101;Les Abymes;;;0050;606;142;464;;27;437;23.43;76.57;;;4.46;5.82;72.11;94.18
2008_muni_t2;97101_0051;ZA;Guadeloupe;;;97101;Les Abymes;;;0051;749;228;521;;48;473;30.44;69.56;;;6.41;9.21;63.15;90.79
2008_muni_t2;97101_0052;ZA;Guadeloupe;;;97101;Les Abymes;;;0052;792;280;512;;46;466;35.35;64.65;;;5.81;8.98;58.84;91.02
2008_muni_t2;97105_0001;ZA;Guadeloupe;;;97105;Basse-Terre;;;0001;1119;443;676;;45;631;39.59;60.41;;;4.02;6.66;56.39;93.34
2008_muni_t2;97105_0002;ZA;Guadeloupe;;;97105;Basse-Terre;;;0002;565;179;386;;19;367;31.68;68.32;;;3.36;4.92;64.96;95.08
2008_muni_t2;97105_0003;ZA;Guadeloupe;;;97105;Basse-Terre;;;0003;1271;392;879;;51;828;30.84;69.16;;;4.01;5.8;65.15;94.2
2008_muni_t2;97105_0004;ZA;Guadeloupe;;;97105;Basse-Terre;;;0004;1272;387;885;;65;820;30.42;69.58;;;5.11;7.34;64.47;92.66
2008_muni_t2;97105_0005;ZA;Guadeloupe;;;97105;Basse-Terre;;;0005;1133;352;781;;38;743;31.07;68.93;;;3.35;4.87;65.58;95.13
2008_muni_t2;97105_0006;ZA;Guadeloupe;;;97105;Basse-Terre;;;0006;548;194;354;;20;334;35.4;64.6;;;3.65;5.65;60.95;94.35
2008_muni_t2;97105_0007;ZA;Guadeloupe;;;97105;Basse-Terre;;;0007;1006;349;657;;25;632;34.69;65.31;;;2.49;3.81;62.82;96.19
2008_muni_t2;97105_0008;ZA;Guadeloupe;;;97105;Basse-Terre;;;0008;774;267;507;;26;481;34.5;65.5;;;3.36;5.13;62.14;94.87
2008_muni_t2;97105_0009;ZA;Guadeloupe;;;97105;Basse-Terre;;;0009;1390;489;901;;38;863;35.18;64.82;;;2.73;4.22;62.09;95.78
2008_muni_t2;97106_0001;ZA;Guadeloupe;;;97106;Bouillante;;;0001;1040;315;725;;35;690;30.29;69.71;;;3.37;4.83;66.35;95.17
2008_muni_t2;97106_0002;ZA;Guadeloupe;;;97106;Bouillante;;;0002;764;210;554;;26;528;27.49;72.51;;;3.4;4.69;69.11;95.31
2008_muni_t2;97106_0003;ZA;Guadeloupe;;;97106;Bouillante;;;0003;772;203;569;;25;544;26.3;73.7;;;3.24;4.39;70.47;95.61
2008_muni_t2;97106_0004;ZA;Guadeloupe;;;97106;Bouillante;;;0004;747;221;526;;14;512;29.59;70.41;;;1.87;2.66;68.54;97.34
2008_muni_t2;97106_0005;ZA;Guadeloupe;;;97106;Bouillante;;;0005;968;268;700;;68;632;27.69;72.31;;;7.02;9.71;65.29;90.29
2008_muni_t2;97106_0006;ZA;Guadeloupe;;;97106;Bouillante;;;0006;1135;376;759;;48;711;33.13;66.87;;;4.23;6.32;62.64;93.68
2008_muni_t2;97106_0007;ZA;Guadeloupe;;;97106;Bouillante;;;0007;877;196;681;;16;665;22.35;77.65;;;1.82;2.35;75.83;97.65
2008_muni_t2;97107_0001;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0001;604;209;395;;37;358;34.6;65.4;;;6.13;9.37;59.27;90.63
2008_muni_t2;97107_0002;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0002;740;244;496;;38;458;32.97;67.03;;;5.14;7.66;61.89;92.34
2008_muni_t2;97107_0003;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0003;837;257;580;;42;538;30.7;69.3;;;5.02;7.24;64.28;92.76
2008_muni_t2;97107_0004;ZA;Guadeloupe;;;97107;Capesterre-Belle-Eau;;;0004;486;157;329;;23;306;32.3;67.7;;;4.73;6.99;62.96;93.01
