"idBank";"Dernière mise à jour";"Périodicité";"Nature";"Unité";"Zone géographique";"Puissance";"Indicateur";"Correction";"Sexe";"Âge";"Catalogue d'indicateurs démographiques";"Série arrêtée"
"001686802";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"De 0 à 14 ans";"Sans objet";"non"
"001686792";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"De 20 à 59 ans";"Sans objet";"non"
"001686801";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"De 15 à 49 ans";"Sans objet";"non"
"001686805";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"60 ans et plus";"Sans objet";"non"
"001686790";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"De 0 à 14 ans";"Sans objet";"non"
"001686797";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"Moins de 20 ans";"Sans objet";"non"
"001686814";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Ensemble";"De 20 à 59 ans";"Sans objet";"non"
"001686811";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Ensemble";"60 ans et plus";"Sans objet";"non"
"001686818";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Ensemble";"75 ans et plus";"Sans objet";"non"
"001686789";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"De 15 à 49 ans";"Sans objet";"non"
"001686793";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"60 ans et plus";"Sans objet";"non"
"001686800";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"75 ans et plus";"Sans objet";"non"
"001686788";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"75 ans et plus";"Sans objet";"non"
"001641597";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Solde migratoire évalué";"Non corrigé";"Sans objet";"Sans objet";"Excédent migratoire";"non"
"001686799";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"60 ans et plus";"Sans objet";"non"
"001686798";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"De 20 à 59 ans";"Sans objet";"non"
"001686791";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"Moins de 20 ans";"Sans objet";"non"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
